"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "YAML", "JSON", "Docker", "JavaScript", "comment", "blank", "total"
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/commands/admin/addSubCategory.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/commands/help.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/commands/language.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/commands/start.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/hears.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/hears/Rules.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/hears/Store.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/hears/Wallet.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/bot.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/constant.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
